family,kernel,variant_index,variant_label,shape_summary_json,baseline_status,pto_status,baseline_correct,pto_correct,baseline_median_ms,pto_median_ms,baseline_over_pto_pct,baseline_limitations_json,baseline_reason,pto_reason,report_path,spec
moe,moe_token_unpermute,1,,"{""gather_indices"": [128], ""out"": [8, 16], ""permuted_tokens"": [8, 16], ""sorted_indices"": [8]}",ok,ok,True,True,0.10427553206682205,0.22530113346874714,46.28273744627509,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_unpermute/report.json,bench/specs/moe/moe_token_unpermute.yaml
moe,moe_token_unpermute,2,,"{""gather_indices"": [16384], ""out"": [256, 64], ""permuted_tokens"": [256, 64], ""sorted_indices"": [256]}",ok,ok,True,True,0.10661105625331402,0.22303697187453508,47.79972367688255,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_unpermute/report.json,bench/specs/moe/moe_token_unpermute.yaml
moe,moe_token_unpermute,3,,"{""gather_indices"": [16384], ""out"": [128, 128], ""permuted_tokens"": [128, 128], ""sorted_indices"": [128]}",ok,ok,True,True,0.11623557657003403,0.22508157417178154,51.64153351856488,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_unpermute/report.json,bench/specs/moe/moe_token_unpermute.yaml
moe,moe_token_unpermute_grad,1,,"{""permuted_tokens"": [8, 16], ""permuted_tokens_grad"": [8, 16], ""probs_grad"": [], ""sorted_indices"": [8], ""unpermuted_tokens_grad"": [8, 16]}",ok,ok,True,True,0.10620604734867811,0.26051653549075127,40.767488001715954,"[""t8_h16: torch_npu returned drifted probs_grad for probsOptional=None; baseline parity is validated on permuted_tokens_grad only."", ""t256_h64: torch_npu returned drifted probs_grad for probsOptional=None; baseline parity is validated on permuted_tokens_grad only.""]",,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_unpermute_grad/report.json,bench/specs/moe/moe_token_unpermute_grad.yaml
moe,moe_token_unpermute_grad,2,,"{""permuted_tokens"": [256, 64], ""permuted_tokens_grad"": [256, 64], ""probs_grad"": [], ""sorted_indices"": [256], ""unpermuted_tokens_grad"": [256, 64]}",ok,ok,True,True,0.10618043597787619,0.28139143250882626,37.73406852909272,"[""t8_h16: torch_npu returned drifted probs_grad for probsOptional=None; baseline parity is validated on permuted_tokens_grad only."", ""t256_h64: torch_npu returned drifted probs_grad for probsOptional=None; baseline parity is validated on permuted_tokens_grad only.""]",,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_unpermute_grad/report.json,bench/specs/moe/moe_token_unpermute_grad.yaml
moe,moe_token_unpermute_grad,3,,"{""permuted_tokens"": [128, 128], ""permuted_tokens_grad"": [128, 128], ""probs_grad"": [], ""sorted_indices"": [128], ""unpermuted_tokens_grad"": [128, 128]}",ok,ok,True,True,0.10456051677465439,0.2602915046736598,40.170545291421256,"[""t8_h16: torch_npu returned drifted probs_grad for probsOptional=None; baseline parity is validated on permuted_tokens_grad only."", ""t256_h64: torch_npu returned drifted probs_grad for probsOptional=None; baseline parity is validated on permuted_tokens_grad only.""]",,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_unpermute_grad/report.json,bench/specs/moe/moe_token_unpermute_grad.yaml
moe,moe_token_unpermute_with_routing_map,1,,"{""gather_indices"": [128], ""permuted_tokens"": [8, 16], ""restore_shape"": [8, 16], ""routing_map"": [8, 4], ""sorted_indices"": [8]}",ok,ok,True,True,0.09905046317726374,0.22496096789836884,44.030066238873935,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_unpermute_with_routing_map/report.json,bench/specs/moe/moe_token_unpermute_with_routing_map.yaml
moe,moe_token_unpermute_with_routing_map,2,,"{""gather_indices"": [16384], ""permuted_tokens"": [256, 64], ""restore_shape"": [256, 64], ""routing_map"": [256, 8], ""sorted_indices"": [256]}",ok,ok,True,True,0.09984604548662901,0.2254219725728035,44.292951723853,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_unpermute_with_routing_map/report.json,bench/specs/moe/moe_token_unpermute_with_routing_map.yaml
moe,moe_token_unpermute_with_routing_map,3,,"{""gather_indices"": [16384], ""permuted_tokens"": [128, 128], ""restore_shape"": [128, 128], ""routing_map"": [128, 8], ""sorted_indices"": [128]}",ok,ok,True,True,0.09950040839612484,0.22403651382774115,44.41258556300758,[],,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_unpermute_with_routing_map/report.json,bench/specs/moe/moe_token_unpermute_with_routing_map.yaml
moe,moe_token_unpermute_with_routing_map_grad,1,,"{""out_index"": [8], ""permute_token_id"": [8], ""permuted_tokens_grad"": [8, 16], ""restore_shape"": [8, 16], ""routing_map"": [8, 4], ""unpermuted_tokens_grad"": [8, 16]}",ok,ok,True,True,0.10884052608162165,0.26204611640423536,41.53487469118718,"[""t8_h16_e4: probsOptional=None returns no probs_grad; baseline parity is validated on permuted_tokens_grad only."", ""t256_h64_e8: probsOptional=None returns no probs_grad; baseline parity is validated on permuted_tokens_grad only."", ""t128_h128_e8: probsOptional=None returns no probs_grad; baseline parity is validated on permuted_tokens_grad only.""]",,,/home/zhouruoyu/github/pto-kernels/bench/generated/moe/moe_token_unpermute_with_routing_map_grad/report.json,bench/specs/moe/moe_token_unpermute_with_routing_map_grad.yaml
